vacc_date,received_at_least_one_dose,full_regimen,minimum_protection,received_one_dose_pcttakeup,full_regimen_pcttakeup,minimum_protection_pcttakeup
2020-12-30,630.0,14.0,9.0,0.01,0.0,0.0
2020-12-31,680.0,15.0,9.0,0.01,0.0,0.0
2021-01-01,722.0,15.0,9.0,0.01,0.0,0.0
2021-01-02,765.0,15.0,9.0,0.01,0.0,0.0
2021-01-03,815.0,15.0,9.0,0.01,0.0,0.0
2021-01-04,915.0,15.0,9.0,0.02,0.0,0.0
2021-01-05,1003.0,19.0,9.0,0.02,0.0,0.0
2021-01-06,1134.0,22.0,9.0,0.02,0.0,0.0
2021-01-07,1259.0,26.0,9.0,0.02,0.0,0.0
2021-01-08,2112.0,37.0,9.0,0.04,0.0,0.0
2021-01-09,2572.0,43.0,9.0,0.04,0.0,0.0
2021-01-10,2800.0,47.0,9.0,0.05,0.0,0.0
2021-01-11,4958.0,51.0,9.0,0.08,0.0,0.0
2021-01-12,7850.0,64.0,9.0,0.13,0.0,0.0
2021-01-13,11953.0,79.0,9.0,0.2,0.0,0.0
2021-01-14,16728.0,93.0,9.0,0.29,0.0,0.0
2021-01-15,22059.0,106.0,9.0,0.38,0.0,0.0
2021-01-16,23831.0,119.0,9.0,0.41,0.0,0.0
2021-01-17,24547.0,130.0,9.0,0.42,0.0,0.0
2021-01-18,32006.0,165.0,9.0,0.55,0.0,0.0
2021-01-19,40122.0,219.0,9.0,0.68,0.0,0.0
2021-01-20,49156.0,329.0,9.0,0.84,0.01,0.0
2021-01-21,56774.0,397.0,9.0,0.97,0.01,0.0
2021-01-22,64461.0,436.0,9.0,1.1,0.01,0.0
2021-01-23,69193.0,464.0,9.0,1.18,0.01,0.0
2021-01-24,73645.0,543.0,9.0,1.26,0.01,0.0
2021-01-25,85475.0,616.0,9.0,1.46,0.01,0.0
2021-01-26,97910.0,709.0,9.0,1.67,0.01,0.0
2021-01-27,111561.0,750.0,9.0,1.9,0.01,0.0
2021-01-28,125895.0,820.0,9.0,2.15,0.01,0.0
2021-01-29,139686.0,1557.0,9.0,2.38,0.03,0.0
2021-01-30,146774.0,1958.0,9.0,2.5,0.03,0.0
2021-01-31,152301.0,2178.0,9.0,2.6,0.04,0.0
2021-02-01,161295.0,4271.0,9.0,2.75,0.07,0.0
2021-02-02,170811.0,6748.0,9.0,2.91,0.12,0.0
2021-02-03,182065.0,10424.0,9.0,3.1,0.18,0.0
2021-02-04,190704.0,14779.0,9.0,3.25,0.25,0.0
2021-02-05,200010.0,19992.0,9.0,3.41,0.34,0.0
2021-02-06,204341.0,21635.0,9.0,3.48,0.37,0.0
2021-02-07,206642.0,22353.0,9.0,3.52,0.38,0.0
2021-02-08,210664.0,29746.0,9.0,3.59,0.51,0.0
2021-02-09,214309.0,37824.0,9.0,3.65,0.64,0.0
2021-02-10,217375.0,46691.0,9.0,3.7,0.8,0.0
2021-02-11,218814.0,49602.0,9.0,3.73,0.85,0.0
2021-02-12,218917.0,49631.0,9.0,3.73,0.85,0.0
2021-02-13,219027.0,49657.0,9.0,3.73,0.85,0.0
2021-02-14,219603.0,53512.0,9.0,3.74,0.91,0.0
2021-02-15,220823.0,64201.0,9.0,3.76,1.09,0.0
2021-02-16,223128.0,77909.0,9.0,3.8,1.33,0.0
2021-02-17,226550.0,93326.0,9.0,3.86,1.59,0.0
2021-02-18,230844.0,107531.0,9.0,3.93,1.83,0.0
2021-02-19,236576.0,121686.0,9.0,4.03,2.07,0.0
2021-02-20,240462.0,129189.0,9.0,4.1,2.2,0.0
2021-02-21,242527.0,135064.0,9.0,4.13,2.3,0.0
2021-02-22,248783.0,146551.0,9.0,4.24,2.5,0.0
2021-02-23,256890.0,158163.0,9.0,4.38,2.7,0.0
2021-02-24,264589.0,169746.0,9.0,4.51,2.89,0.0
2021-02-25,273259.0,179630.0,9.0,4.66,3.06,0.0
2021-02-26,283254.0,190259.0,9.0,4.83,3.24,0.0
2021-02-27,291637.0,195695.0,9.0,4.97,3.34,0.0
2021-02-28,297793.0,198241.0,9.0,5.08,3.38,0.0
2021-03-01,307537.0,201613.0,9.0,5.24,3.44,0.0
2021-03-02,317564.0,205016.0,9.0,5.41,3.49,0.0
2021-03-03,328824.0,207798.0,9.0,5.6,3.54,0.0
2021-03-04,341220.0,209621.0,9.0,5.82,3.57,0.0
2021-03-05,354980.0,210590.0,9.0,6.05,3.59,0.0
2021-03-06,363903.0,211270.0,9.0,6.2,3.6,0.0
2021-03-07,368730.0,211712.0,9.0,6.28,3.61,0.0
2021-03-08,382478.0,213200.0,9.0,6.52,3.63,0.0
